epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202046,2020-11-14,178,BA,Itanagra,2915908,city,39,605.96644,0,3,0,0.0769,6436,False,False
202046,2020-11-14,176,BA,Itanhém,2916005,city,599,3101.05612,0,9,0,0.015,19316,False,False
202046,2020-11-14,203,BA,Itaparica,2916104,city,425,1902.6727,4,12,0,0.0282,22337,False,False
202046,2020-11-14,216,BA,Itapé,2916203,city,441,5172.41379,0,12,0,0.0272,8526,False,False
202046,2020-11-14,220,BA,Itapebi,2916302,city,197,1928.53647,0,5,0,0.0254,10215,False,False
202046,2020-11-14,225,BA,Itapetinga,2916401,city,2457,3199.42705,8,46,0,0.0187,76795,False,False
202046,2020-11-14,189,BA,Itapicuru,2916500,city,767,2137.50244,0,5,0,0.0065,35883,False,False
202046,2020-11-14,190,BA,Itapitanga,2916609,city,400,3884.24937,2,5,0,0.0125,10298,False,False
202046,2020-11-14,170,BA,Itaquara,2916708,city,105,1257.93698,0,2,0,0.019,8347,False,False
202046,2020-11-14,224,BA,Itarantim,2916807,city,347,1748.72751,1,10,0,0.0288,19843,False,False
202046,2020-11-14,221,BA,Itatim,2916856,city,173,1189.90302,1,9,0,0.052,14539,False,False
202046,2020-11-14,160,BA,Itiruçu,2916906,city,133,1061.62197,0,2,0,0.015,12528,False,False
202046,2020-11-14,181,BA,Itiúba,2917003,city,126,348.87584,0,2,0,0.0159,36116,False,False
202046,2020-11-14,231,BA,Itororó,2917102,city,1172,5748.4795,3,17,0,0.0145,20388,False,False
202046,2020-11-14,168,BA,Ituaçu,2917201,city,82,430.89858,1,3,0,0.0366,19030,False,False
202046,2020-11-14,220,BA,Ituberá,2917300,city,697,2425.19137,0,26,0,0.0373,28740,False,False
202046,2020-11-14,162,BA,Iuiu,2917334,city,77,698.9833,1,1,0,0.013,11016,False,False
202046,2020-11-14,176,BA,Jaborandi,2917359,city,272,3286.21481,0,4,0,0.0147,8277,False,False
202046,2020-11-14,178,BA,Jacaraci,2917409,city,55,370.37037,0,0,0,0.0,14850,False,False
202046,2020-11-14,193,BA,Jacobina,2917508,city,1404,1741.17939,22,13,0,0.0093,80635,False,False
202046,2020-11-14,219,BA,Jaguaquara,2917607,city,2673,4889.06773,2,23,0,0.0086,54673,False,False
202046,2020-11-14,201,BA,Jaguarari,2917706,city,688,2038.76015,7,7,1,0.0102,33746,False,False
202046,2020-11-14,179,BA,Jaguaripe,2917805,city,427,2249.61804,1,3,0,0.007,18981,False,False
202046,2020-11-14,166,BA,Jandaíra,2917904,city,278,2591.83293,0,4,0,0.0144,10726,False,False
202046,2020-11-14,237,BA,Jequié,2918001,city,6472,4145.36977,4,157,0,0.0243,156126,False,False
202046,2020-11-14,160,BA,Jeremoabo,2918100,city,411,1011.04524,0,8,0,0.0195,40651,False,False
202046,2020-11-14,175,BA,Jiquiriçá,2918209,city,162,1112.86666,0,3,0,0.0185,14557,False,False
202046,2020-11-14,193,BA,Jitaúna,2918308,city,322,2979.27461,1,12,0,0.0373,10808,False,False
202046,2020-11-14,171,BA,João Dourado,2918357,city,441,1736.08377,0,10,0,0.0227,25402,False,False
202046,2020-11-14,237,BA,Juazeiro,2918407,city,6551,3002.81442,69,122,0,0.0186,218162,False,False
202046,2020-11-14,160,BA,Jucuruçu,2918456,city,374,4161.10369,3,1,0,0.0027,8988,False,False
202046,2020-11-14,164,BA,Jussara,2918506,city,218,1428.38422,4,1,0,0.0046,15262,False,False
